1, memory_percent: 5.45429466796379, cpu_percent: 100.0
2, memory_percent: 6.379488165485705, cpu_percent: 100.0
3, memory_percent: 6.8479366011521545, cpu_percent: 100.0
4, memory_percent: 7.102902959177169, cpu_percent: 100.0
5, memory_percent: 7.282058623453352, cpu_percent: 100.0
6, memory_percent: 7.542092960316158, cpu_percent: 100.0
7, memory_percent: 7.940843625161836, cpu_percent: 100.0
8, memory_percent: 8.218433022741118, cpu_percent: 100.0
9, memory_percent: 8.56284659489294, cpu_percent: 100.0
10, memory_percent: 8.88850342062448, cpu_percent: 100.0
11, memory_percent: 9.239395646135954, cpu_percent: 100.0
12, memory_percent: 9.643997997887123, cpu_percent: 100.0
13, memory_percent: 10.070909905965483, cpu_percent: 100.0
14, memory_percent: 10.465794277677173, cpu_percent: 100.0
15, memory_percent: 10.602002739843405, cpu_percent: 100.0
16, memory_percent: 11.103628150375815, cpu_percent: 100.0
17, memory_percent: 11.488376564411922, cpu_percent: 100.0
18, memory_percent: 11.953115448557924, cpu_percent: 99.5
19, memory_percent: 12.350821169313337, cpu_percent: 100.0
20, memory_percent: 12.50813750210295, cpu_percent: 100.0
21, memory_percent: 12.856521861797784, cpu_percent: 100.0
22, memory_percent: 13.235470836132912, cpu_percent: 100.0
23, memory_percent: 13.631818129570977, cpu_percent: 100.0
24, memory_percent: 13.945823828696046, cpu_percent: 100.0
25, memory_percent: 14.333132355753305, cpu_percent: 100.0
26, memory_percent: 14.586635792051947, cpu_percent: 100.0
27, memory_percent: 15.054352766855208, cpu_percent: 100.0
28, memory_percent: 15.513762436140855, cpu_percent: 100.0
29, memory_percent: 15.849555219547979, cpu_percent: 100.0
30, memory_percent: 16.234773858424706, cpu_percent: 100.0
31, memory_percent: 16.492352576675383, cpu_percent: 100.0
32, memory_percent: 16.96837685699627, cpu_percent: 100.0
33, memory_percent: 17.376584265858856, cpu_percent: 100.0
34, memory_percent: 17.8391287674153, cpu_percent: 100.0
35, memory_percent: 18.11321760229219, cpu_percent: 100.0
36, memory_percent: 18.362123284593658, cpu_percent: 100.0
37, memory_percent: 18.802723960254504, cpu_percent: 100.0
38, memory_percent: 19.280733634346895, cpu_percent: 100.0
39, memory_percent: 19.656391034797682, cpu_percent: 100.0
40, memory_percent: 19.919664698340313, cpu_percent: 100.0
41, memory_percent: 20.31752716070927, cpu_percent: 100.0
42, memory_percent: 20.66559803717702, cpu_percent: 100.0
43, memory_percent: 21.0651324100904, cpu_percent: 99.5
44, memory_percent: 21.480184202744233, cpu_percent: 100.0
45, memory_percent: 21.817596649491268, cpu_percent: 100.0
46, memory_percent: 22.24560574886441, cpu_percent: 100.0
47, memory_percent: 22.56269403305576, cpu_percent: 100.0
48, memory_percent: 22.98553065918208, cpu_percent: 100.0
49, memory_percent: 23.286474557178817, cpu_percent: 100.0
